Process Name,64-bit,CPU clocks,IPC,DC miss rate,DTLB L1M L2M rate,Misalign rate,Mispredict rate,
"k2.dll","","111545","0.65","0.01","0","0","0.01",
"nv4_disp.dll","","66334","0.67","0.01","0","0","0.01",
"vid_d3d9.dll","","36384","0.69","0.01","0","0","0.01",
"msvcr80.dll","","32745","0.82","0","0","0.01","0.01",
"game_shared.dll","","22350","0.62","0.01","0","0","0.01",
"hal.dll","","21049","0.06","0.06","0","0","0.02",
"cgame.dll","","20302","0.35","0.03","0.01","0","0.02",
"fmodex.dll","","19306","0.64","0.02","0","0","0",
"msvcp80.dll","","19096","0.95","0","0","0","0.01",
"d3d9.dll","","18016","0.86","0.01","0","0","0.01",
"ntkrnlpa.exe","","10311","0.24","0.02","0.01","0","0.02",
"ntdll.dll","","4205","0.48","0.01","0","0","0.01",
"USBPORT.SYS","","1852","0.23","0.02","0","0","0.02",
"Wdf01000.sys","","1649","0.14","0.02","0","0","0.05",
"msvcrt.dll","","1609","0.67","0.01","0","0.02","0",
"D3DX9_40.dll","","1543","0.91","0.01","0","0","0",
"nv4_mini.sys","","1304","0.3","0.01","0","0","0.04",
"win32k.sys","","1139","0.17","0.03","0.01","0","0.05",
"dxg.sys","","750","0.19","0.03","0.01","0","0.04",
"ha10kx2k.sys","","733","0.2","0.06","0.01","0","0.04",
"kernel32.dll","","625","0.25","0.01","0","0","0.11",
"HIDPARSE.SYS","","382","0.32","0.02","0","0.01","0.03",
"ctoss2k.sys","","367","0.11","0.04","0","0","0.06",
"ctaud2k.sys","","353","0.09","0.06","0.03","0","0.11",
"dsound.dll","","346","0.14","0.05","0.01","0","0.1",
"portcls.sys","","343","0.13","0.06","0.01","0","0.07",
"ks.sys","","308","0.19","0.05","0.02","0","0.05",
"tcpip.sys","","280","0.1","0.06","0.02","0","0.08",
"HIDCLASS.SYS","","280","0.12","0.05","0","0","0.09",
"usbohci.sys","","273","0.12","0.08","0.02","0","0.07",
"user32.dll","","269","0.12","0.03","0.02","0","0.1",
"LHidFilt.Sys","","212","0.17","0.02","0","0","0.05",
"hap16v2k.sys","","201","0.12","0.08","0","0","0.08",
"e1000325.sys","","183","0.08","0.05","0","0","0.06",
"gdi32.dll","","177","0.03","0.13","0.12","0","0.18",
"LMouFilt.Sys","","143","0.15","0.02","0","0","0.08",
"ALCXWDM.SYS","","135","0.01","0.15","0.1","0","0.3",
"usbccgp.sys","","128","0.06","0.05","0.01","0","0.15",
"afd.sys","","126","0.12","0.03","0.01","0.01","0.04",
"sysaudio.sys","","118","0.09","0.11","0.02","0","0.11",
"sptd.sys","","96","0.07","0.11","0.01","0.03","0.11",
"mswsock.dll","","95","0.09","0.06","0","0","0.06",
"mouhid.sys","","93","0.1","0.02","0","0.01","0.1",
"usbhub.sys","","91","0.05","0.08","0.02","0","0.14",
"hidusb.sys","","85","0.08","0.11","0.01","0","0.13",
"NDIS.sys","","79","0.08","0.15","0.05","0","0.12",
"ws2help.dll","","72","0.01","0.7","0.2","0.1","0.1",
"watchdog.sys","","63","0.14","0.2","0.01","0","0",
"ipnat.sys","","59","0.07","0.03","0.03","0","0.17",
"mouclass.sys","","57","0.09","0.08","0","0","0.1",
"winmm.dll","","50","0.08","0.08","0.05","0","0.12",
"ws2_32.dll","","48","0.08","0","0","0","0.03",
"ohci1394.sys","","37","0.05","0.1","0.15","0","0.1",
"SCSIPORT.SYS","","36","0.19","0.03","0","0","0",
"msctf.dll","","35","0.14","0.02","0","0","0",
"psched.sys","","35","0.09","0.03","0","0","0.03",
"si3114.sys","","30","0","0","0","0","0",
"Unknown Kernel Samples","","29","0.24","0.04","0","0","0.04",
"VIDEOPRT.SYS","","29","0","0","0","0","0",
"amdagp8p.sys","","28","0.04","0.4","0","0","0",
"lgscroll.dll","","23","0","0","0","0","0",
"splitter.sys","","22","0.09","0.05","0.2","0","0",
"Ntfs.sys","","22","0.23","0.04","0","0","0.04",
"ipsec.sys","","21","0.14","0","0.03","0","0",
"libcurl.dll","","18","0","0","0","0","0",
"d3d8thk.dll","","17","0.12","0","0","0","0",
"CLASSPNP.SYS","","12","0","0","0","0","0",
"hon.exe","","11","0","0","0","0","0",
"wshtcpip.dll","","6","0.17","0","0","0","0",
"rdbss.sys","","5","0","0","0","0","0",
"imm32.dll","","4","0","0","0","0","0",
"msctfime.ime","","3","0","0","0","0","0",
"SiWinAcc.sys","","2","0","0","0","0","0",
"libeay32.dll","","1","0","0","0","0","0",
"PxHelp20.sys","","1","0","0","0","0","0",
"AmdEide.sys","","1","0","0","0","0","0",
"ACPI.sys","","1","1","0","0","0","0",
"usbuhci.sys","","1","0","0","0","0","0",
"usbehci.sys","","1","0","0","0","0","0",
"kbdhid.sys","","1","0","0","0","0","0",
"TDI.SYS","","1","1","0","0","0","0",
"PartMgr.sys","","0","0","0","0","0","0",
"kbdclass.sys","","0","0","0","0","0","0",
